Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,state_name,county_name
4808,517,7056,1902,7306,1799,14722,4474,8283,1754, Alabama,Autauga
15483,1382,23942,7316,25834,9422,58805,18529,42531,12881, Alabama,Baldwin
2090,51,3642,271,3038,332,6574,906,4710,571, Alabama,Barbour
1694,29,3276,225,2910,302,6398,795,3584,356, Alabama,Bibb
4501,120,6839,1057,7263,1100,15363,1871,10326,1182, Alabama,Blount
1019,46,1271,115,1384,68,2806,323,1640,350, Alabama,Bullock
1554,66,2339,290,2529,564,5051,725,3900,651, Alabama,Butler
10558,723,15129,2696,13694,3301,30547,4877,19738,3746, Alabama,Calhoun
2806,85,4128,616,3836,463,9355,1250,6470,834, Alabama,Chambers
1784,58,2495,305,2871,550,7697,1003,5811,549, Alabama,Cherokee
3374,55,5782,570,5874,768,11338,1343,7052,1142, Alabama,Chilton
993,25,1276,241,1419,182,3712,445,2922,245, Alabama,Choctaw
2071,49,2611,267,2849,402,6631,676,4679,705, Alabama,Clarke
1100,6,1503,58,1544,105,3714,548,2698,288, Alabama,Clay
1052,45,1757,277,1729,311,4096,677,2899,351, Alabama,Cleburne
4110,285,6609,1328,6679,1899,13455,3113,8550,1704, Alabama,Coffee
4259,253,6588,1113,6602,1402,15125,2851,10644,1704, Alabama,Colbert
957,3,1340,114,1316,268,3431,356,2746,390, Alabama,Conecuh
697,24,1089,59,1289,180,3451,487,2430,333, Alabama,Coosa
2713,121,4363,756,4053,621,10182,1546,7726,1097, Alabama,Covington
1048,25,1670,358,1577,370,3834,537,2609,422, Alabama,Crenshaw
6422,271,10328,1580,10141,1558,22141,2910,15116,1956, Alabama,Cullman
4383,353,7146,1513,5832,964,12450,2349,8081,1252, Alabama,Dale
3520,136,4571,471,4383,661,10437,1555,6809,1167, Alabama,Dallas
5810,125,8484,974,8916,1211,18707,2543,11883,1518, Alabama,DeKalb
6822,313,11465,2459,10874,3138,21701,5367,12053,3096, Alabama,Elmore
2910,111,5005,470,4696,567,9592,1330,6566,857, Alabama,Escambia
8547,429,12248,1779,12669,2760,27858,5000,19257,3276, Alabama,Etowah
1308,25,1921,236,1881,307,4466,477,3438,431, Alabama,Fayette
2796,226,4071,660,3653,515,7758,1082,5304,650, Alabama,Franklin
1939,66,2927,385,3021,391,7437,1006,5275,549, Alabama,Geneva
647,39,1002,146,803,86,2215,233,1773,121, Alabama,Greene
