,state,county,Donald Trump,Joe Biden,Others
0,Alabama,Autauga,19838.0,7503.0,429.0
1,Alabama,Baldwin,83544.0,24578.0,1557.0
2,Alabama,Barbour,5622.0,4816.0,80.0
3,Alabama,Bibb,7525.0,1986.0,84.0
4,Alabama,Blount,24711.0,2640.0,237.0
5,Alabama,Bullock,1146.0,3446.0,21.0
6,Alabama,Butler,5458.0,3965.0,65.0
7,Alabama,Calhoun,35101.0,15216.0,666.0
8,Alabama,Chambers,8753.0,6365.0,166.0
9,Alabama,Cherokee,10583.0,1624.0,94.0
10,Alabama,Chilton,16085.0,3073.0,152.0
11,Alabama,Choctaw,4296.0,3127.0,41.0
12,Alabama,Clarke,7324.0,5755.0,56.0
13,Alabama,Clay,5601.0,1267.0,62.0
14,Alabama,Cleburne,6484.0,675.0,68.0
15,Alabama,Coffee,16899.0,5076.0,300.0
16,Alabama,Colbert,19203.0,8343.0,340.0
17,Alabama,Conecuh,3442.0,2966.0,33.0
18,Alabama,Coosa,3631.0,1796.0,52.0
19,Alabama,Covington,14586.0,2721.0,123.0
20,Alabama,Crenshaw,4864.0,1700.0,53.0
21,Alabama,Cullman,36880.0,4478.0,493.0
22,Alabama,Dale,14303.0,5170.0,265.0
23,Alabama,Dallas,5524.0,12230.0,110.0
24,Alabama,DeKalb,24767.0,4281.0,308.0
25,Alabama,Elmore,30164.0,10367.0,499.0
26,Alabama,Escambia,10869.0,4918.0,123.0
27,Alabama,Etowah,35528.0,11567.0,633.0
28,Alabama,Fayette,7300.0,1395.0,71.0
29,Alabama,Franklin,10376.0,2086.0,116.0
30,Alabama,Geneva,10848.0,1595.0,102.0
31,Alabama,Greene,875.0,3884.0,16.0
32,Alabama,Hale,3190.0,4687.0,45.0
33,Alabama,Henry,6607.0,2606.0,85.0
34,Alabama,Houston,32618.0,12917.0,638.0
35,Alabama,Jackson,19670.0,3717.0,249.0
36,Alabama,Jefferson,138843.0,181688.0,5317.0
37,Alabama,Lamar,6174.0,978.0,41.0
38,Alabama,Lauderdale,31721.0,11915.0,703.0
39,Alabama,Lawrence,12322.0,3562.0,147.0
40,Alabama,Lee,42221.0,27860.0,1368.0
41,Alabama,Limestone,34640.0,13672.0,923.0
42,Alabama,Lowndes,1836.0,4972.0,27.0
43,Alabama,Macon,1541.0,7108.0,74.0
44,Alabama,Madison,102780.0,87286.0,4701.0
45,Alabama,Marengo,5343.0,5488.0,69.0
46,Alabama,Marion,12205.0,1463.0,139.0
47,Alabama,Marshall,33191.0,5943.0,521.0
48,Alabama,Mobile,101243.0,79474.0,2447.0
49,Alabama,Monroe,6147.0,4455.0,66.0
50,Alabama,Montgomery,33311.0,64529.0,1299.0
